StationNumber,Station name,Date/Time,"Temperature, water, deg C","Specificconductance,wat unfuS/cm @25 degC","Dissolvedoxygen, mg/L","pH, water,unfltrd field, std units","Turbidity, IR LED light,det ang90 deg, FNU","Nitrate +nitrite water,in situmg/L as",county
11204100,SF TULE R NR RESERVATION BNDRY NR PORTERVILLE CA,02/10 22:30 PST,10.1,199,--,8.0,--,--,Tulare County
11206820,MARBLE FORK KAWEAH R AB HORSE C NR LODGEPOLE CA,02/10 21:45 PST,2.9,--,--,--,--,--,Tulare County
11274790,TUOLUMNE R A GRAND CYN OF TUOLUMNE AB HETCH HETCHY,Tuolumne County
,[YSI EXO],02/10 22:30 PST,--,--,--,--,0.7,--,Tuolumne County
11276500,TUOLUMNE R NR HETCH HETCHY CA,02/10 22:00 PST,8.1,--,--,--,--,--,Tuolumne County
11276600,TUOLUMNE R AB EARLY INTAKE NR MATHER CA,02/10 21:45 PST,9.0,--,--,--,--,--,Tuolumne County
11276900,TUOLUMNE R BL EARLY INTAKE NR MATHER CA,02/10 22:30 PST,8.7,--,--,--,--,--,Tuolumne County
11277300,CHERRY C BL VALLEY DAM NR HETCH HETCHY CA,02/10 22:30 PST,6.1,--,--,--,--,--,Tuolumne County
11278000,ELEANOR C NR HETCH HETCHY CA,02/10 22:30 PST,4.8,--,--,--,--,--,Tuolumne County
11278300,CHERRY C NR EARLY INTAKE CA,02/10 22:15 PST,7.1,--,--,--,--,--,Tuolumne County
11278400,CHERRY C BL DION R HOLM PH NR MATHER CA,02/10 21:45 PST,8.0,--,--,--,--,--,Tuolumne County
11299997,STANISLAUS R BL TULLOCH PP NR KNIGHTS FERRY CA,02/10 22:00 PST,9.9,--,--,--,--,--,Tuolumne County
11451800,CACHE C A RUMSEY CA,02/10 21:45 PST,12.2,--,--,--,21.6,--,Yolo County
11452800,CACHE C OVERFLOW WEIR FROM SETTLING BAS NR WOOD'LD,02/10 22:15 PST,10.1,--,--,--,--,--,Yolo County
,[TS173: EUREKA MANTA2],01/27 11:00 PST,--,--,--,--,2.0,--,Yolo County
11452900,CACHE C OUTFLOW FROM SETTLING BASIN NR WOODLAND CA,02/10 22:00 PST,0.0,--,--,--,0.0,--,Yolo County
11453000,YOLO BYPASS NR WOODLAND CA,Yolo County
,[EXO],02/10 21:30 PST,--,--,--,--,10.4,--,Yolo County
11455095,SACRAMENTO R DEEP WATER SHIP CHANNEL NR FREEPORT,02/10 21:45 PST,10.9,756,10.7,8.4,--,0.45,Yolo County
11455136,SACRAMENTO R DEEP WATER SHIP CHANNEL NR CLARKSBURG,02/10 21:45 PST,11.0,483,10.7,8.1,--,--,Yolo County
,[TS213: YSI EXO],02/10 21:45 PST,--,--,--,--,75.3,--,Yolo County
11455140,TOE DRAIN A LIBERTY ISLAND NR COURTLAND CA,Yolo County
,[BGC Project],02/10 22:00 PST,12.4,694,--,--,12.8,--,Yolo County
11455142,SACRAMENTO R DEEP WATER SHIP CHANNEL NR COURTLAND,Yolo County
,"BGC PROJECT, [BGC PROJECT TS213:YSI EXO]",02/10 22:30 PST,--,--,--,--,60.5,--,Yolo County
,"BGC PROJECT, [BGC PROJECT]",02/10 22:30 PST,10.8,388,10.6,8.1,--,0.74,Yolo County
11455146,LIBERTY CUT A LITTLE HOLLAND TRACT NR COURTLAND CA,Yolo County
,BGC PROJECT,01/23 10:45 PST,10.0,374,7.5,7.2,Dis,--,Yolo County
,,01/18 17:15 PST,--,--,--,--,--,0.60,Yolo County
384115121402501,CACHE C OVERFLOW WEIR AT N ABUTMENT NR WOODLAND CA,02/10 22:00 PST,13.8,--,--,--,--,--,Yolo County
,,02/10 15:45 PST,--,--,--,--,44.8,--,Yolo County
10336698,"THIRD CK NR CRYSTAL BAY, NV",02/10 22:00 PST,2.2,--,--,--,0.1,--,"Washoe County, Nevada"
10336700,"INCLINE CK NR CRYSTAL BAY, NV",02/10 22:00 PST,2.4,--,--,--,5.3,--,"Washoe County, Nevada"
